fips,year,scenario,gcm,TXx
48239,2055,ssp585,ACCESS-CM2,41.95905685424805
48241,2055,ssp585,ACCESS-CM2,42.63380432128906
48243,2055,ssp585,ACCESS-CM2,44.328208923339844
48245,2055,ssp585,ACCESS-CM2,38.94952392578125
48247,2055,ssp585,ACCESS-CM2,44.02265930175781
48249,2055,ssp585,ACCESS-CM2,43.2484245300293
48251,2055,ssp585,ACCESS-CM2,45.39692687988281
48253,2055,ssp585,ACCESS-CM2,46.66259765625
48255,2055,ssp585,ACCESS-CM2,43.17869567871094
48257,2055,ssp585,ACCESS-CM2,44.540740966796875
48259,2055,ssp585,ACCESS-CM2,43.551513671875
48261,2055,ssp585,ACCESS-CM2,41.45125198364258
48263,2055,ssp585,ACCESS-CM2,46.25212097167969
48265,2055,ssp585,ACCESS-CM2,43.547142028808594
48267,2055,ssp585,ACCESS-CM2,43.948585510253906
48269,2055,ssp585,ACCESS-CM2,46.52561950683594
48271,2055,ssp585,ACCESS-CM2,45.7717170715332
48273,2055,ssp585,ACCESS-CM2,41.60651779174805
48275,2055,ssp585,ACCESS-CM2,47.17906188964844
48277,2055,ssp585,ACCESS-CM2,43.70341110229492
48279,2055,ssp585,ACCESS-CM2,42.51917266845703
48281,2055,ssp585,ACCESS-CM2,45.09828567504883
48283,2055,ssp585,ACCESS-CM2,45.515384674072266
48285,2055,ssp585,ACCESS-CM2,44.42692565917969
48287,2055,ssp585,ACCESS-CM2,45.26993942260742
48289,2055,ssp585,ACCESS-CM2,45.317237854003906
48291,2055,ssp585,ACCESS-CM2,41.49554443359375
48293,2055,ssp585,ACCESS-CM2,45.52516555786133
48295,2055,ssp585,ACCESS-CM2,42.408782958984375
48297,2055,ssp585,ACCESS-CM2,43.3089599609375
48299,2055,ssp585,ACCESS-CM2,44.9862060546875
48301,2055,ssp585,ACCESS-CM2,45.13692092895508
48303,2055,ssp585,ACCESS-CM2,42.52928161621094
48305,2055,ssp585,ACCESS-CM2,43.28094482421875
48307,2055,ssp585,ACCESS-CM2,45.172874450683594
48309,2055,ssp585,ACCESS-CM2,45.502044677734375
48311,2055,ssp585,ACCESS-CM2,44.40188217163086
48313,2055,ssp585,ACCESS-CM2,45.3829345703125
48315,2055,ssp585,ACCESS-CM2,43.81205368041992
48317,2055,ssp585,ACCESS-CM2,44.144142150878906
48319,2055,ssp585,ACCESS-CM2,44.59326171875
48321,2055,ssp585,ACCESS-CM2,39.595298767089844
48323,2055,ssp585,ACCESS-CM2,46.563995361328125
48325,2055,ssp585,ACCESS-CM2,44.993167877197266
48327,2055,ssp585,ACCESS-CM2,44.26145935058594
48329,2055,ssp585,ACCESS-CM2,44.19248962402344
48331,2055,ssp585,ACCESS-CM2,45.66204071044922
48333,2055,ssp585,ACCESS-CM2,45.23958206176758
48335,2055,ssp585,ACCESS-CM2,45.46199035644531
48337,2055,ssp585,ACCESS-CM2,45.80596923828125
48339,2055,ssp585,ACCESS-CM2,43.074127197265625
48341,2055,ssp585,ACCESS-CM2,43.078487396240234
48345,2055,ssp585,ACCESS-CM2,44.771141052246094
48347,2055,ssp585,ACCESS-CM2,43.92682647705078
48349,2055,ssp585,ACCESS-CM2,45.19493865966797
48351,2055,ssp585,ACCESS-CM2,42.26660919189453
48353,2055,ssp585,ACCESS-CM2,45.19701385498047
48355,2055,ssp585,ACCESS-CM2,41.37771987915039
48357,2055,ssp585,ACCESS-CM2,42.32318878173828
48359,2055,ssp585,ACCESS-CM2,43.39427947998047
48361,2055,ssp585,ACCESS-CM2,39.902374267578125
48363,2055,ssp585,ACCESS-CM2,46.30591583251953
48365,2055,ssp585,ACCESS-CM2,43.62567138671875
48367,2055,ssp585,ACCESS-CM2,45.823402404785156
48369,2055,ssp585,ACCESS-CM2,42.52375030517578
48371,2055,ssp585,ACCESS-CM2,44.166351318359375
48373,2055,ssp585,ACCESS-CM2,43.48797607421875
48375,2055,ssp585,ACCESS-CM2,43.0103759765625
48377,2055,ssp585,ACCESS-CM2,46.329288482666016
48379,2055,ssp585,ACCESS-CM2,43.921722412109375
48381,2055,ssp585,ACCESS-CM2,42.274986267089844
48383,2055,ssp585,ACCESS-CM2,44.26560592651367
48385,2055,ssp585,ACCESS-CM2,43.81549072265625
48387,2055,ssp585,ACCESS-CM2,43.8746452331543
48389,2055,ssp585,ACCESS-CM2,45.7041130065918
48391,2055,ssp585,ACCESS-CM2,40.33942413330078
48393,2055,ssp585,ACCESS-CM2,42.713218688964844
48395,2055,ssp585,ACCESS-CM2,45.82421875
48397,2055,ssp585,ACCESS-CM2,44.30999755859375
48399,2055,ssp585,ACCESS-CM2,45.595741271972656
48401,2055,ssp585,ACCESS-CM2,44.107704162597656
48403,2055,ssp585,ACCESS-CM2,43.138824462890625
48405,2055,ssp585,ACCESS-CM2,43.2548828125
48407,2055,ssp585,ACCESS-CM2,43.22908020019531
48409,2055,ssp585,ACCESS-CM2,41.67987060546875
48411,2055,ssp585,ACCESS-CM2,45.3153076171875
48413,2055,ssp585,ACCESS-CM2,44.150543212890625
48415,2055,ssp585,ACCESS-CM2,45.42230987548828
48417,2055,ssp585,ACCESS-CM2,46.39839172363281
48419,2055,ssp585,ACCESS-CM2,43.701759338378906
48421,2055,ssp585,ACCESS-CM2,42.71607971191406
48423,2055,ssp585,ACCESS-CM2,43.990997314453125
48425,2055,ssp585,ACCESS-CM2,45.80523681640625
48427,2055,ssp585,ACCESS-CM2,44.38053894042969
48429,2055,ssp585,ACCESS-CM2,46.16637420654297
48431,2055,ssp585,ACCESS-CM2,44.741004943847656
48433,2055,ssp585,ACCESS-CM2,47.09111022949219
48435,2055,ssp585,ACCESS-CM2,44.020469665527344
48437,2055,ssp585,ACCESS-CM2,42.614418029785156
48439,2055,ssp585,ACCESS-CM2,45.63594055175781
48441,2055,ssp585,ACCESS-CM2,45.39768981933594
48443,2055,ssp585,ACCESS-CM2,44.98641586303711
48445,2055,ssp585,ACCESS-CM2,42.554359436035156
48447,2055,ssp585,ACCESS-CM2,47.00304412841797
48449,2055,ssp585,ACCESS-CM2,43.93006134033203
48451,2055,ssp585,ACCESS-CM2,45.00790023803711
48453,2055,ssp585,ACCESS-CM2,44.57447814941406
48455,2055,ssp585,ACCESS-CM2,44.1771354675293
48457,2055,ssp585,ACCESS-CM2,42.773963928222656
48459,2055,ssp585,ACCESS-CM2,43.83705139160156
48461,2055,ssp585,ACCESS-CM2,43.97867202758789
48463,2055,ssp585,ACCESS-CM2,45.295997619628906
48465,2055,ssp585,ACCESS-CM2,45.116329193115234
48467,2055,ssp585,ACCESS-CM2,44.152687072753906
48469,2055,ssp585,ACCESS-CM2,41.38862609863281
48471,2055,ssp585,ACCESS-CM2,44.393951416015625
48473,2055,ssp585,ACCESS-CM2,43.69608688354492
48475,2055,ssp585,ACCESS-CM2,44.943870544433594
48477,2055,ssp585,ACCESS-CM2,44.93853759765625
48479,2055,ssp585,ACCESS-CM2,45.283382415771484
48481,2055,ssp585,ACCESS-CM2,42.743064880371094
48483,2055,ssp585,ACCESS-CM2,43.4793701171875
48485,2055,ssp585,ACCESS-CM2,47.21788024902344
48487,2055,ssp585,ACCESS-CM2,47.1221923828125
48489,2055,ssp585,ACCESS-CM2,41.413543701171875
48491,2055,ssp585,ACCESS-CM2,44.79317092895508
48493,2055,ssp585,ACCESS-CM2,44.20648193359375
48495,2055,ssp585,ACCESS-CM2,44.306396484375
48497,2055,ssp585,ACCESS-CM2,45.927711486816406
48499,2055,ssp585,ACCESS-CM2,43.8648567199707
48501,2055,ssp585,ACCESS-CM2,42.35911560058594
48503,2055,ssp585,ACCESS-CM2,46.68097686767578
48505,2055,ssp585,ACCESS-CM2,44.867156982421875
48507,2055,ssp585,ACCESS-CM2,46.195648193359375
06001,2056,ssp585,ACCESS-CM2,34.64381790161133
06003,2056,ssp585,ACCESS-CM2,35.7055549621582
06005,2056,ssp585,ACCESS-CM2,40.10927200317383
06007,2056,ssp585,ACCESS-CM2,42.69731140136719
06009,2056,ssp585,ACCESS-CM2,41.97711944580078
06011,2056,ssp585,ACCESS-CM2,41.0709114074707
06013,2056,ssp585,ACCESS-CM2,36.30290603637695
06015,2056,ssp585,ACCESS-CM2,32.98487091064453
06017,2056,ssp585,ACCESS-CM2,40.044029235839844
06019,2056,ssp585,ACCESS-CM2,38.4326057434082
06021,2056,ssp585,ACCESS-CM2,39.8021240234375
06023,2056,ssp585,ACCESS-CM2,31.303295135498047
06025,2056,ssp585,ACCESS-CM2,47.35618591308594
06027,2056,ssp585,ACCESS-CM2,44.02646255493164
06029,2056,ssp585,ACCESS-CM2,38.379615783691406
06031,2056,ssp585,ACCESS-CM2,40.6408576965332
06033,2056,ssp585,ACCESS-CM2,37.619163513183594
06035,2056,ssp585,ACCESS-CM2,40.1507453918457
06037,2056,ssp585,ACCESS-CM2,33.23991394042969
06039,2056,ssp585,ACCESS-CM2,40.88484573364258
06041,2056,ssp585,ACCESS-CM2,37.74908447265625
06043,2056,ssp585,ACCESS-CM2,42.072906494140625
06045,2056,ssp585,ACCESS-CM2,35.542728424072266
06047,2056,ssp585,ACCESS-CM2,40.13127899169922
06049,2056,ssp585,ACCESS-CM2,40.47943878173828
06051,2056,ssp585,ACCESS-CM2,37.11720275878906
06053,2056,ssp585,ACCESS-CM2,33.108116149902344
06055,2056,ssp585,ACCESS-CM2,38.506614685058594
06057,2056,ssp585,ACCESS-CM2,39.83424377441406
06059,2056,ssp585,ACCESS-CM2,35.09008026123047
06061,2056,ssp585,ACCESS-CM2,40.646846771240234
06063,2056,ssp585,ACCESS-CM2,38.97514343261719
06065,2056,ssp585,ACCESS-CM2,42.61366653442383
06067,2056,ssp585,ACCESS-CM2,42.23078155517578
06069,2056,ssp585,ACCESS-CM2,34.06221389770508
06071,2056,ssp585,ACCESS-CM2,44.24320983886719
06073,2056,ssp585,ACCESS-CM2,36.45612716674805
06075,2056,ssp585,ACCESS-CM2,35.707366943359375
06077,2056,ssp585,ACCESS-CM2,40.8747444152832
06079,2056,ssp585,ACCESS-CM2,34.199893951416016
06081,2056,ssp585,ACCESS-CM2,33.8172607421875
06083,2056,ssp585,ACCESS-CM2,31.8814697265625
06085,2056,ssp585,ACCESS-CM2,33.74679183959961
06087,2056,ssp585,ACCESS-CM2,33.185150146484375
06089,2056,ssp585,ACCESS-CM2,41.111576080322266
06091,2056,ssp585,ACCESS-CM2,38.74046325683594
06093,2056,ssp585,ACCESS-CM2,36.88158416748047
06095,2056,ssp585,ACCESS-CM2,38.69866180419922
06097,2056,ssp585,ACCESS-CM2,38.50146484375
06099,2056,ssp585,ACCESS-CM2,40.488407135009766
06101,2056,ssp585,ACCESS-CM2,42.729400634765625
06103,2056,ssp585,ACCESS-CM2,40.529842376708984
06105,2056,ssp585,ACCESS-CM2,33.888607025146484
06107,2056,ssp585,ACCESS-CM2,38.83320999145508
06109,2056,ssp585,ACCESS-CM2,38.02788162231445
06111,2056,ssp585,ACCESS-CM2,31.092880249023438
06113,2056,ssp585,ACCESS-CM2,40.524742126464844
06115,2056,ssp585,ACCESS-CM2,44.156707763671875
48001,2056,ssp585,ACCESS-CM2,44.25947570800781
48003,2056,ssp585,ACCESS-CM2,43.074947357177734
48005,2056,ssp585,ACCESS-CM2,44.65681457519531
48007,2056,ssp585,ACCESS-CM2,40.3809814453125
48009,2056,ssp585,ACCESS-CM2,43.4600830078125
48011,2056,ssp585,ACCESS-CM2,41.25482177734375
48013,2056,ssp585,ACCESS-CM2,43.680419921875
48015,2056,ssp585,ACCESS-CM2,44.232635498046875
48017,2056,ssp585,ACCESS-CM2,41.03535461425781
48019,2056,ssp585,ACCESS-CM2,41.95658493041992
48021,2056,ssp585,ACCESS-CM2,44.13728332519531
48023,2056,ssp585,ACCESS-CM2,43.11097717285156
48025,2056,ssp585,ACCESS-CM2,42.4229850769043
48027,2056,ssp585,ACCESS-CM2,44.03248596191406
48029,2056,ssp585,ACCESS-CM2,43.02983093261719
48031,2056,ssp585,ACCESS-CM2,42.43345642089844
48033,2056,ssp585,ACCESS-CM2,43.1419677734375
48035,2056,ssp585,ACCESS-CM2,43.73774719238281
48037,2056,ssp585,ACCESS-CM2,42.726829528808594
48039,2056,ssp585,ACCESS-CM2,40.80229568481445
48041,2056,ssp585,ACCESS-CM2,44.68659973144531
48043,2056,ssp585,ACCESS-CM2,43.933895111083984
48045,2056,ssp585,ACCESS-CM2,41.363807678222656
48047,2056,ssp585,ACCESS-CM2,42.987091064453125
48049,2056,ssp585,ACCESS-CM2,42.412681579589844
48051,2056,ssp585,ACCESS-CM2,44.6386833190918
48053,2056,ssp585,ACCESS-CM2,43.089935302734375
48055,2056,ssp585,ACCESS-CM2,43.87782287597656
48057,2056,ssp585,ACCESS-CM2,41.399810791015625
48059,2056,ssp585,ACCESS-CM2,41.6965446472168
48061,2056,ssp585,ACCESS-CM2,40.47430419921875
48065,2056,ssp585,ACCESS-CM2,41.19215774536133
48067,2056,ssp585,ACCESS-CM2,42.926910400390625
48069,2056,ssp585,ACCESS-CM2,41.01879119873047
48071,2056,ssp585,ACCESS-CM2,41.03725051879883
48073,2056,ssp585,ACCESS-CM2,43.967315673828125
48075,2056,ssp585,ACCESS-CM2,42.67234802246094
48077,2056,ssp585,ACCESS-CM2,43.76357650756836
48079,2056,ssp585,ACCESS-CM2,40.992462158203125
48081,2056,ssp585,ACCESS-CM2,43.214111328125
48083,2056,ssp585,ACCESS-CM2,41.92009735107422
48085,2056,ssp585,ACCESS-CM2,43.26020431518555
48087,2056,ssp585,ACCESS-CM2,42.59967041015625
48089,2056,ssp585,ACCESS-CM2,44.8428955078125
48091,2056,ssp585,ACCESS-CM2,42.685089111328125
48093,2056,ssp585,ACCESS-CM2,42.68363571166992
48095,2056,ssp585,ACCESS-CM2,41.67704772949219
48097,2056,ssp585,ACCESS-CM2,43.31306457519531
48099,2056,ssp585,ACCESS-CM2,43.824310302734375
48101,2056,ssp585,ACCESS-CM2,42.42210388183594
48103,2056,ssp585,ACCESS-CM2,43.38001251220703
48105,2056,ssp585,ACCESS-CM2,42.09477233886719
48107,2056,ssp585,ACCESS-CM2,41.61961364746094
48109,2056,ssp585,ACCESS-CM2,42.95624542236328
48111,2056,ssp585,ACCESS-CM2,41.35504150390625
48113,2056,ssp585,ACCESS-CM2,43.483619689941406
48115,2056,ssp585,ACCESS-CM2,43.00584411621094
48117,2056,ssp585,ACCESS-CM2,41.085994720458984
48119,2056,ssp585,ACCESS-CM2,42.90476989746094
48121,2056,ssp585,ACCESS-CM2,43.56601333618164
48123,2056,ssp585,ACCESS-CM2,43.555328369140625
48125,2056,ssp585,ACCESS-CM2,42.19279479980469
48127,2056,ssp585,ACCESS-CM2,44.64141845703125
48129,2056,ssp585,ACCESS-CM2,41.77808380126953
48131,2056,ssp585,ACCESS-CM2,43.40248489379883
48133,2056,ssp585,ACCESS-CM2,42.36500930786133
48135,2056,ssp585,ACCESS-CM2,43.27677917480469
48137,2056,ssp585,ACCESS-CM2,41.4161491394043
48139,2056,ssp585,ACCESS-CM2,43.60060501098633
48141,2056,ssp585,ACCESS-CM2,43.06963348388672
48143,2056,ssp585,ACCESS-CM2,42.79579162597656
48145,2056,ssp585,ACCESS-CM2,44.3920783996582
48147,2056,ssp585,ACCESS-CM2,42.96870040893555
48149,2056,ssp585,ACCESS-CM2,44.64872741699219
48151,2056,ssp585,ACCESS-CM2,42.78345489501953
48153,2056,ssp585,ACCESS-CM2,41.173797607421875
48155,2056,ssp585,ACCESS-CM2,42.9133186340332
48157,2056,ssp585,ACCESS-CM2,42.766395568847656
48161,2056,ssp585,ACCESS-CM2,44.27412414550781
48163,2056,ssp585,ACCESS-CM2,44.0799446105957
48165,2056,ssp585,ACCESS-CM2,42.65190124511719
48167,2056,ssp585,ACCESS-CM2,40.86280822753906
48169,2056,ssp585,ACCESS-CM2,42.67870330810547
48171,2056,ssp585,ACCESS-CM2,41.73176956176758
48173,2056,ssp585,ACCESS-CM2,43.2652587890625
48175,2056,ssp585,ACCESS-CM2,42.60712814331055
48177,2056,ssp585,ACCESS-CM2,44.319679260253906
48179,2056,ssp585,ACCESS-CM2,41.82688903808594
48181,2056,ssp585,ACCESS-CM2,43.30271530151367
48183,2056,ssp585,ACCESS-CM2,43.599212646484375
48185,2056,ssp585,ACCESS-CM2,44.578575134277344
48187,2056,ssp585,ACCESS-CM2,43.708282470703125
48189,2056,ssp585,ACCESS-CM2,40.94648742675781
48191,2056,ssp585,ACCESS-CM2,42.30139923095703
48193,2056,ssp585,ACCESS-CM2,43.01075744628906
48195,2056,ssp585,ACCESS-CM2,42.481224060058594
48197,2056,ssp585,ACCESS-CM2,43.10801696777344
48199,2056,ssp585,ACCESS-CM2,43.197113037109375
48201,2056,ssp585,ACCESS-CM2,42.334373474121094
48203,2056,ssp585,ACCESS-CM2,43.34955596923828
48205,2056,ssp585,ACCESS-CM2,41.63330078125
48207,2056,ssp585,ACCESS-CM2,42.574378967285156
48209,2056,ssp585,ACCESS-CM2,42.95977783203125
48211,2056,ssp585,ACCESS-CM2,42.66999053955078
48213,2056,ssp585,ACCESS-CM2,43.74177551269531
48215,2056,ssp585,ACCESS-CM2,42.68830108642578
48217,2056,ssp585,ACCESS-CM2,43.9120979309082
48219,2056,ssp585,ACCESS-CM2,41.12681579589844
48221,2056,ssp585,ACCESS-CM2,43.534912109375
48223,2056,ssp585,ACCESS-CM2,42.79109191894531
48225,2056,ssp585,ACCESS-CM2,44.68023681640625
48227,2056,ssp585,ACCESS-CM2,43.41785430908203
48229,2056,ssp585,ACCESS-CM2,42.931983947753906
48231,2056,ssp585,ACCESS-CM2,42.943824768066406
