fips,region,heat_exposure_rank,wildfire_exposure_rank,asset_density_rank,composite_risk_score
48167,ERCOT,0.9699248120300752,0.0,0.8872180451127819,0.6541353383458646
48171,ERCOT,0.46616541353383456,0.0,0.2706766917293233,0.26766917293233083
48177,ERCOT,0.631578947368421,0.0,0.3383458646616541,0.35413533834586464
48179,ERCOT,0.12781954887218044,0.0,0.39849624060150374,0.1706766917293233
48181,ERCOT,0.48872180451127817,0.0,0.6691729323308271,0.3962406015037594
48183,ERCOT,0.8045112781954887,0.0,0.9624060150375939,0.6105263157894737
48187,ERCOT,0.42105263157894735,0.0,0.8120300751879699,0.41203007518796986
48189,ERCOT,0.24812030075187969,0.0,0.7593984962406015,0.32706766917293234
48193,ERCOT,0.3082706766917293,0.0,0.21052631578947367,0.18646616541353384
48201,ERCOT,0.6541353383458647,0.0,0.9924812030075187,0.5593984962406015
48203,ERCOT,0.9097744360902256,0.0,0.8270676691729323,0.6120300751879699
48205,ERCOT,0.11278195488721804,0.0,0.06766917293233082,0.06541353383458647
48211,ERCOT,0.07518796992481203,0.0,0.18045112781954886,0.08421052631578946
48213,ERCOT,0.924812030075188,0.0,0.5864661654135338,0.5458646616541354
48215,ERCOT,0.2932330827067669,0.0,0.7518796992481203,0.34285714285714286
48217,ERCOT,0.7218045112781954,0.0,0.3458646616541353,0.3924812030075188
48221,ERCOT,0.3609022556390977,0.0,0.7368421052631579,0.36541353383458647
48223,ERCOT,0.5413533834586466,0.0,0.518796992481203,0.37218045112781956
48225,ERCOT,1.0,0.0,0.19548872180451127,0.4586466165413534
48227,ERCOT,0.2706766917293233,0.0,0.6917293233082706,0.3157894736842105
48231,ERCOT,0.37593984962406013,0.0,0.7142857142857143,0.36466165413533835
48233,ERCOT,0.007518796992481203,0.0,0.6090225563909775,0.18571428571428572
48241,ERCOT,0.9323308270676691,0.0,0.42857142857142855,0.5015037593984962
48245,ERCOT,0.8120300751879699,0.0,0.9774436090225563,0.6180451127819548
48247,ERCOT,0.39849624060150374,0.0,0.022556390977443608,0.1661654135338346
48249,ERCOT,0.3233082706766917,0.0,0.21804511278195488,0.19473684210526315
48251,ERCOT,0.518796992481203,0.0,0.8721804511278195,0.4691729323308271
48257,ERCOT,0.7368421052631579,0.0,0.6992481203007519,0.5045112781954887
48261,ERCOT,0.9924812030075187,0.0,0.09022556390977443,0.42406015037593986
48265,ERCOT,0.3458646616541353,0.0,0.3082706766917293,0.23082706766917294
48267,ERCOT,0.022556390977443608,0.0,0.16541353383458646,0.058646616541353384
48273,ERCOT,0.9774436090225563,0.0,0.18796992481203006,0.4473684210526315
48277,ERCOT,0.6165413533834586,0.0,0.5413533834586466,0.4090225563909774
48281,ERCOT,0.6616541353383458,0.0,0.24060150375939848,0.33684210526315783
48283,ERCOT,0.21804511278195488,0.0,0.09774436090225563,0.11654135338345864
48287,ERCOT,0.8947368421052632,0.0,0.10526315789473684,0.3894736842105263
48293,ERCOT,0.7669172932330827,0.0,0.45112781954887216,0.4421052631578947
48299,ERCOT,0.23308270676691728,0.0,0.3308270676691729,0.1924812030075188
48303,ERCOT,0.045112781954887216,0.0,0.9473684210526315,0.30225563909774433
48307,ERCOT,0.5338345864661654,0.0,0.12781954887218044,0.2518796992481203
48309,ERCOT,0.5714285714285714,0.0,0.8646616541353384,0.48796992481203005
48321,ERCOT,0.5112781954887218,0.0,0.3684210526315789,0.3150375939849624
48325,ERCOT,0.48120300751879697,0.0,0.3609022556390977,0.3007518796992481
48329,ERCOT,0.2781954887218045,0.0,0.7669172932330827,0.34135338345864663
48331,ERCOT,0.7293233082706767,0.0,0.39097744360902253,0.4090225563909774
48337,ERCOT,0.43609022556390975,0.0,0.5338345864661654,0.33458646616541354
48339,ERCOT,0.6992481203007519,0.0,0.8345864661654135,0.5300751879699248
48341,ERCOT,0.2556390977443609,0.0,0.2932330827067669,0.19022556390977444
48347,ERCOT,0.9022556390977443,0.0,0.48120300751879697,0.5052631578947369
48349,ERCOT,0.6917293233082706,0.0,0.556390977443609,0.44360902255639095
48353,ERCOT,0.03007518796992481,0.0,0.6616541353383458,0.21052631578947367
48355,ERCOT,0.9849624060150376,0.0,0.7969924812030075,0.6330827067669172
48357,ERCOT,0.706766917293233,0.0,0.42105263157894735,0.4090225563909774
48361,ERCOT,0.5639097744360902,0.0,0.9699248120300752,0.5165413533834586
48365,ERCOT,0.9473684210526315,0.0,0.47368421052631576,0.5210526315789474
48367,ERCOT,0.3157894736842105,0.0,0.7293233082706767,0.34511278195488726
48371,ERCOT,0.2857142857142857,0.0,0.2857142857142857,0.19999999999999998
48375,ERCOT,0.08270676691729323,0.0,0.7443609022556391,0.256390977443609
48377,ERCOT,0.8571428571428571,0.0,0.03759398496240601,0.35413533834586464
48389,ERCOT,0.24060150375939848,0.0,0.17293233082706766,0.1481203007518797
48393,ERCOT,0.03759398496240601,0.0,0.14285714285714285,0.057894736842105256
